coinbase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKsaUH2BL8QUqZAnEDANaXutCiuSZ5umTU,MEims2vQqk4QiC939y12snKjhpcmrvxwoy,MDTz3N3AcLNx6hADrmFsaqWAPRDeWcVCUM,MCRJzLygdFrQeATPpc15E7YpW9Y7bT6Nrx,MHJugz1383ZvsAdnhWXNSucgXHsW7Ydu7u,M8KavAaLXjSmiy1GD49nXJcV3Cfz3Z5wJV,MWsGPsnCY1tmxgUcpQdwQBVC68xcDhSwCi,MM2Dqwf8AXCVq9MbgYQmm5HxauGChwPZtR,MMpABNtf7p9FuumPua9cpNajyhEtVAFSdd,MD8xWUDYzsKku57pBYLVFhwxyT5a7RY6VV,MA6HtLENaQMeqUeMcexkVoQKrbzGBQ2FQF,MJJoArB389LbqPbG4aoP2KSCYCgD83G1C7,MEKufGzKkAmXU85zn8qzEoiecS5YW9Gqrg,MBBPXjMMLYTiaK7zj6hZA7jj8YMQg6ksGT,MJmT1uJRBHRXrxvEgMUk3Pwo6bxYxHweWc,MMuGUnM1BRdhSXfc2pguhmBFkG3m6LerPx,MJ1Vew2xfnvyC2FDvZNYq4PiRmaemTUWrZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMpXVeRhdVUb2U8utyeeSvndFphrDU2AUF,MCFEiGftLKFBE2SfJpAH9Z1HwqkvFgwL8R,MDvG4PoKcpYLtUwdbWBmKDbDBhg8mXRhsy,MGsccQQVDhUKujDWxx7tx8Z38yG2faK27z,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MSDNbfFyAgXW6BKYAEHPFNtewRY3Baf1xV,MWBDn84sQPwcQ3Va9dTvcR2FBGqCiEH8Fg,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MWBDn84sQPwcQ3Va9dTvcR2FBGqCiEH8Fg,MWBDn84sQPwcQ3Va9dTvcR2FBGqCiEH8Fg,MX3nMUB6YPwud162oKrNx1Vx5P9gG2ReDD,MB3Yi9i1RDVngo3pRBUVUDNHf5EqtnNomy,MWBDn84sQPwcQ3Va9dTvcR2FBGqCiEH8Fg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCwoebvDe9Mwqx2U8doqVMFVP1YQD1vgw8,MP4s6FfGWA3KiuBQi6Va4hLaPrbYV5C48H,MVehkxvq9ZDmxDCNdVDSPWrvFZBbsZn3P9,ME6RqCgX1Qj1VSV4ais1k5nucRjL1XHu64,MNqgTqoHqjkysG91QEWymEoMdYUSCnwEmm,MLguy9h7aEWrYyDRuM7SL3DnXXniFsMkPN,MQJcUq5DtmSSNJBr7WkpmTYBjznwLBgmYY,M8oaPNc7DQBPKcf5NtPSb62LqaQkXD4bUW,MNaRUK8ZtbjfX5Uht6NpRbgXzJkJQGajP7,MShHyLfVfEBNaLdQnzyDreJx7rQ475ZXfd,MQAauRoZ5xPJUE5oAUKNbC2PHNSqtpZ3Rh,MTwvbGZLR7dvniFxPY3Rs3VyZy3vGbZR8k,MHbbxKL4n9nRaBaLcgSqwcYAaKYfxhruzp,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MJ7ecGy6GRw8yddk9J33iUYpFNhtdkjTst,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MNaYvYUsSNaNPwrpPHTab3E8BYgkwPh5qw,MDpPqhKDFL8HnSGpWidkXn8DRfWnkzqRrS,MVnUtge4cV524GEgJtmcjVFwR5TAuar18h,MKTxEGfboCoeG2RS6JHHKpJpC6iQy8Wq2b,MAHBHY5mup599feTwKQ4Jc6n88cgee3yM3,M8GxvuTdyC6aZqW9Y68jc8vpZ9VK6TAMif,M9Dua4os8xnVtk6jbnW2hAL2y9Y9c4s9AR,M8GxvuTdyC6aZqW9Y68jc8vpZ9VK6TAMif,M8GxvuTdyC6aZqW9Y68jc8vpZ9VK6TAMif,MAWU1Jhq7zWrYTHxx5m8gJzbNcSCdgnPYy,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MN3nm1EPtmdmcHB7xbEN8efuLaXeUw17Uq,MKzA95W93akQH5V8PJkNF3oXAEfPNAdj2a,M9AGV5cvT3ZSXZy4Q7cvRZHWqJ55uH1uV4,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MHzf1nVUq3Hbd19PNryvLxWQ5f6CSMFUdz,MDpPqhKDFL8HnSGpWidkXn8DRfWnkzqRrS,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MWHsWRHL95U8XGmfszScvKVKNSspeYRMXV,MJdj4AAf1gJhnzxXGKG6UwnYyRKawvVWZP,MTSXrP5iqT2iLVVpwcupEas6oFryejygUK,M82o58sagX7ueyCDX3eCS1FZiFH8Lh5GAJ,MAorzVjhv8GDQxNhKqu5bFMeiYKj7w9nnz,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MVxeEPLNvky1D8T2X8gme657pTu3t7JQ1k,MBYFgyHuQnpVawxxxzUyUuADrHorPvfZB8,MP88vrYvNTMcds9hVixupWPmH28Geb2cRs,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MBGiFE2581iktDr1dXZhXTdrHzLYr8imjx,M8GxvuTdyC6aZqW9Y68jc8vpZ9VK6TAMif,MHY4TxSxHqDFbjidx5L2pkmdKZ1xgC61gb,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,MFWoRRHn96onTz3hCzducmSxcKw54889qM,MGmiAJJQSzfB1SArNFjFLjnN9SdfWgnQcc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWQmVRGaH7GnnZJ5RjjZzoMEJcpq6UbW7S,MRuM2DuFVbXw7D5qqw9psQZdP2DL8bKddh,MPwmXFGLidRuFCSEjmDLPyki8sD2Pqi1WN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSjRv9cewt7rdqyWNJc7S4UvhHM3CmRuhf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVKDJN2AbvcmJozYxvSWKgyB6DZCVBkFo7,M8evHq1rTSaQQMRMy79q2FbWkcfmTv1EMj,MKVa7F6p4f8ATtANXa6XvozGBr8yQzmC7U,MNrSRYU3dpzndxxeNVjb1AawbG3JeFL5x8,MPNTbLTyymnrvwnwNfmjJYWYLpzKMok7Qw,MX397HpePv1LiXbshJEUGY9vb1VTvCQyW8,MNc84CKvW3xF3c9x5ECXRRZe3u5CbKDqmb,MBnkvK3X3KaBQSoPFxHxAV1nNGnCBRh8i3,M95URnMXAv694LpDUByFh7t2e194qaeiqa,M8rLuCTLM9Kh12eVFFubxbxirc5nsrshth,MG6brcjtaLg1vLeiWkD4bCYgczVvKJuMxv,MDhPrwCDHuzKsuay2P1fuiCDLAUoin7h4V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKrbVVc3UF52WTZfXtsDT38NC9dxxmWuvt,MUNSxBXjkt2EyNXSpFppNosBoUZsfMsuPG,MQt3vC1RFrBr8sKrd2Xt4EJSWwh49wT9Ee,MBbmZ95PVZX8QPYJkQ9kXSZVHfT1aPPt1P,MWekRM3WSxm6ZoRSUwup5FcnAAdRZ2ZijF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKZCa3Y1mpYEsSUG8XWgEisBMheZGVyo6U,MUH3CUVyZqxjkmjZM3inMLXZqH2q3cdHTM,MSyvyTiRygD35dG2CDv4M6KwPq1RysfVs2,MJesURQyfpECWpJK2a9eTJpzMnnR9J8tvJ,MKktgwhiKKBfjXGXk4kb9HXNBsZxJGCvoA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEP6rfQUck7E2wbXiKkWuxZTkumKRbS3n6,MGuMARoMkbUoAgsX35DUfsZUt6iTTQQgsC,MMEx7SYkcAEMjSV7nXs3zRT6nX1Drigoyr,MCFwXFG9z8CJSiHHPtN4SbCJUa5YXu4ZMA,MRy2e2pa1pynWNvnTAPp5EFyAGfXEpZKTv,MSNM9UMZEYiFzFDxGFdrui6hcTWyRirALn,MVbNLLYXZRTnyS9nkup5uJVsiCPeityEgU,MFW4gcfj1mfWeTtUd1msaEwcYqJP7oN8gL,M81NnqcNDdWU3FVTeckHqkEhGkXVEN1e8B,MBEYQjJG1PPP8aMJYFrAM6MSZ5FR1AgAj2,MAAsSasdXWoPaURHdQpnH2NzkQPZ3Tf8y2,MHBWehfgwM3EYRYtERSAKDGiGDZ18P9Rkh,MA4Mqj3y6ems7oWNJMJV5wWz4HMvbxw9Jo,MVRV9KZLCJbeTL4nAsscytXJFPJJHGN1ko,MKL4LKgKoKwhsFPJVZFrNzZzNXRCu5YL28,MMnhH6PNjGf7o9YctKEgCZEYPe9HxLtq5y,MUDkYcBBKr5MTK94Zom6GbaLM9joYnERB6,MFwZC9SsoU7wxQJoMM4JjEW3shtZgHPHbi,MHcajEqfjDYxFFHZMyRPSnN6C1J6DeCjwE,MLrS6ghsCtcwm1T7eFJYKoMC4kXxQG2Vco,MK7TW9LRZKgDGjLYdA1h13CYKaB8j1ifKL,MHRXZhF2xNsMFzPFBmLTULuC8cHKuHpN9S,MNqxnQ5AWbDSXsWEzvqMDT33tTxp2ne3Gk,MVq3mp3iSoUEskG1yKuoMndabQ2MaoLGV5,MEMQSgKNXhCxuK9wztWVP95eCK7rWskZwr,MWt93jt3TAHnksyk5X8QddyJaxH9itSH31,MQ7L7CFfsEkRKsnLGiUQd62yWAkMM5Sn9v,MT3PDTb5txPf8nUUWPmNtt3N5rZVvBnqug,M9DUuzQwZ3MBod6QTYmNPQQ34EpQiTWyL9,MPNKPvUpmTx9wTK7BEs9nWoZwKTsSiPBXf,MKPcCnj7A6tyCLmNSSsMKZdZpAbnLdGkBp,MJnVNW5wAFTbsftDCcH7MrJkX7uqty9JD2,MBu9wjaw4iJnEeNc73fPuWCzc2j61Sd2Ts,MJV1ds7GFNg6RChNsbDJTRQhPQvGJkNvMa,MBBBAjZFUQ7TyqRfpAQ75TvbwwHRfeWkik,MPiD7uYWWTwnmUjswYPH5CEE9EAMxz15rG,MGTzksehqumLWyezBRRe7gyF5dJSdtivoG,MV78PCA5EC4Cq6V8PMSTGxt1eeByBaFGrz,MMr1JW4eXLQxEgLQRCajW5sGTKYzfnFqWM,MHSqucsRTYg2iZVh8CvTWFHo7by9kmSQ9c,MHb3vnWEqQGEnrRfDecW3XiitNH4f4fa4i,MMf4Xz4vda794Xis5MtSd1nT894EogDyxT,MGc6PCNaZzKdNC3oTwZxdhu3kQiuQ4g1NM,MPqLfhH57G6J3MY4FmJvpumVxrQrHdZYtK,MCQo6RhWtXdxwUL4ygvJx5c1y4Da1qXDk9,MFJND6QkVJBZZWRWRzBdo4GBkavq1tMagd,M8eiWSjGiaDSWSAuePQHj9j2t5r2iW3QVm,MNC8LYCeVU8yh73PHhxEsbiNNNVA7iiZb6,MAtmcNt7WAqU1NHTGd6zFLgyyqWAmn9G7T,MNXJ2Sjg4SuPw8epzhmmqMkJS3kur71tbf,MPin7a3pWTveQ1JntvqxizoVBdBQdpd7Pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPHUy1DZPfu6pXtPbKiwYvcqdVLu8RRd1o,MS55UK23MeaCdyxc4hKzqjnbqUZRih3bF9,MN5finmGYCY3nhFGtF27BNLjX75zUr6NEG,MS9B7MySdzzxvVjTeGxhSXaF2hNaqrJeEm,MA7FQAaQf1zay3kJTahPJf87mmt1emtvXZ,MCKoyNKgyzU2dZ3woXXSymoW5aLJDiXzHA,MGc3oJuXxKAXAWfbFKqeF53nFBUtzBXqBy,MEfSY9mbfo4Hj5eqhq8ygmoh7ZAS8h6GQS,MRxRv4jdBk8CkhKWeQ2DMdLRQdC9RZsKR8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
